,Country,County,Designation,Points,Price,Province,Title,Variety,Winery,Year
0,Spain,Cava,1919 Brut Selecció,88,13.0,Catalonia,L'Arboc NV 1919 Brut Selecció Sparkling (Cava),Sparkling Blend,L'Arboc,1919
1,Italy,Vernaccia di San Gimignano,,87,14.0,Tuscany,Guidi 1929 2015 Vernaccia di San Gimignano,Vernaccia,Guidi 1929,1929
2,Italy,Sangiovese di Romagna Superiore,Prugneto,84,15.0,Central Italy,Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore),Sangiovese,Poderi dal Nespoli 1929,1929
3,Portugal,,Reserva Velho,93,495.0,Colares,Adega Viuva Gomes 1934 Reserva Velho Red (Colares),Ramisco,Adega Viuva Gomes,1934
4,France,Rivesaltes,Legend Vintage,95,350.0,Languedoc-Roussillon,Gérard Bertrand 1945 Legend Vintage Red (Rivesaltes),Red Blend,Gérard Bertrand,1945
5,Portugal,,Colheita Tawny,96,415.0,Port,Burmester 1952 Colheita Tawny (Port),Port,Burmester,1952
6,Portugal,,Colheita Tawny,96,400.0,Port,Messias 1963 Colheita Tawny (Port),Port,Messias,1963
7,Portugal,,Colheita Tawny,93,175.0,Port,Barros 1974 Colheita Tawny (Port),Port,Barros,1974
8,Portugal,,Colheita Tawny,94,100.0,Port,Kopke 1978 Colheita Tawny (Port),Port,Kopke,1978
9,Portugal,,,93,137.0,Moscatel do Douro,Adega de Favaios 1980 Moscatel do Douro,Moscatel,Adega de Favaios,1980
10,Portugal,,Colheita,94,100.0,Port,Niepoort 1984 Colheita (Port),Port,Niepoort,1984
11,US,Sonoma Valley,Cherryblock,89,170.0,California,Sebastiani 1987 Cherryblock Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani,1987
12,France,Champagne,Diamant Bleu,91,70.0,Champagne,Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne),Champagne Blend,Heidsieck & Co Monopole,1989
13,Portugal,,Colheita Tawny,93,47.0,Port,Burmester 1989 Colheita Tawny (Port),Port,Burmester,1989
14,France,Champagne,Dom Pérignon Rosé,90,290.0,Champagne,Moët & Chandon 1990 Dom Pérignon Rosé (Champagne),Champagne Blend,Moët & Chandon,1990
15,US,Sonoma County,Brut L.D.,93,60.0,California,Iron Horse 1991 Brut L.D. (Sonoma County),Champagne Blend,Iron Horse,1991
16,US,Carneros,Royal Cuvee Brut,88,22.0,California,Gloria Ferrer 1992 Royal Cuvee Brut (Carneros),Champagne Blend,Gloria Ferrer,1992
17,US,Anderson Valley,Private Reserve Brut,91,32.0,California,Pacific Echo 1992 Private Reserve Brut (Anderson Valley),Champagne Blend,Pacific Echo,1992
18,Austria,,Solist,92,75.0,Kamptal,Kirchmayr 1992 Solist Riesling (Kamptal),Riesling,Kirchmayr,1992
19,US,Oregon,,86,24.0,Oregon,Rex Hill 1993 Oregon,Champagne Blend,Rex Hill,1993
20,Germany,,Kaseler Dominikanerberg Auslese,90,26.0,Mosel,C. von Nell-Breuning 1994 Kaseler Dominikanerberg Auslese Riesling (Mosel),Riesling,C. von Nell-Breuning,1994
21,Spain,Rioja,Gran Reserva,88,25.0,Northern Spain,Campo Viejo 1994 Gran Reserva (Rioja),Red Blend,Campo Viejo,1994
22,Italy,Vin Santo del Chianti Rufina,Riserva,93,140.0,Tuscany,Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina),White Blend,Fattoria di Grignano,1994
23,US,Sonoma County,,82,13.0,California,Gan Eden 1994 Chardonnay (Sonoma County),Chardonnay,Gan Eden,1994
24,France,Champagne,Premier Cru Blanc de Blancs Brut,89,48.0,Champagne,De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne),Champagne Blend,De Saint Gall,1995
25,France,Champagne,Grand Cru Millésimé Blanc de Blancs Brut,91,,Champagne,Drappier 1995 Grand Cru Millésimé Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Drappier,1995
26,France,Champagne,Grande Cru Brut,90,60.0,Champagne,Soutiran 1995 Grande Cru Brut (Champagne),Champagne Blend,Soutiran,1995
27,Italy,Brunello di Montalcino,Riserva,84,56.0,Tuscany,Poggio Antico 1995 Riserva (Brunello di Montalcino),Sangiovese,Poggio Antico,1995
28,US,Anderson Valley,Blanc de Blancs,89,27.0,California,Pacific Echo 1995 Blanc de Blancs (Anderson Valley),Champagne Blend,Pacific Echo,1995
29,US,Sonoma County,Russian Cuvée,89,26.0,California,Iron Horse 1995 Russian Cuvée (Sonoma County),Champagne Blend,Iron Horse,1995
30,US,Anderson Valley,Blanc de Blancs,86,30.0,California,Handley 1995 Blanc de Blancs (Anderson Valley),Champagne Blend,Handley,1995
31,Spain,Rioja,Gran Reserva 904,92,60.0,Northern Spain,La Rioja Alta 1995 Gran Reserva 904 (Rioja),Tempranillo Blend,La Rioja Alta,1995
32,Germany,,Kaseler Dominikanerberg Spätlese,90,27.0,Mosel,C. von Nell-Breuning 1995 Kaseler Dominikanerberg Spätlese Riesling (Mosel),Riesling,C. von Nell-Breuning,1995
33,South Africa,,,87,17.0,Stellenbosch,Middelvlei 1995 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Middelvlei,1995
34,US,Anderson Valley,Brut,88,25.0,California,Handley 1995 Brut (Anderson Valley),Champagne Blend,Handley,1995
35,Spain,Almansa,Reserva,84,10.0,Central Spain,Castillo de Almansa 1995 Reserva Red (Almansa),Red Blend,Castillo de Almansa,1995
36,US,California,Coastal Reserve,83,22.0,California,Meridian 1996 Coastal Reserve Cabernet Sauvignon (California),Cabernet Sauvignon,Meridian,1996
37,US,Yakima Valley,Whiskey Canyon Vyd,84,29.0,Washington,Covey Run 1996 Whiskey Canyon Vyd Cabernet Sauvignon (Yakima Valley),Cabernet Sauvignon,Covey Run,1996
38,US,Sonoma County,Winemaker's Reserve,88,35.0,California,Château Souverain 1996 Winemaker's Reserve Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Château Souverain,1996
39,US,Napa Valley,Brut,86,28.0,California,S. Anderson 1996 Brut (Napa Valley),Champagne Blend,S. Anderson,1996
40,Hungary,,Szt. Tamás Aszú 6 Puttonyos,91,77.0,Tokaji,Royal Tokaji 1996 Szt. Tamás Aszú 6 Puttonyos (Tokaji),Tokaji,Royal Tokaji,1996
41,Italy,Chianti Classico,Riserva,84,18.0,Tuscany,Querceto 1996 Riserva (Chianti Classico),Sangiovese,Querceto,1996
42,France,Champagne,Cuvée Femme Brut,95,120.0,Champagne,Duval-Leroy 1996 Cuvée Femme Brut (Champagne),Champagne Blend,Duval-Leroy,1996
43,France,Champagne,Dom Ruinart Brut Rosé,92,,Champagne,Ruinart 1996 Dom Ruinart Brut Rosé (Champagne),Champagne Blend,Ruinart,1996
44,Spain,Valencia,Reserva,85,9.0,Levante,Castillo Catadau 1996 Reserva Red (Valencia),Tempranillo Blend,Castillo Catadau,1996
45,France,Champagne,Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut,94,,Champagne,Pascal Doquet 1996 Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pascal Doquet,1996
46,Italy,Chianti Classico,Riserva,83,26.0,Tuscany,Castellare 1996 Riserva (Chianti Classico),Sangiovese,Castellare,1996
47,US,Sonoma Valley,Drummond Vineyard,87,24.0,California,Kunde 1996 Drummond Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Kunde,1996
48,Australia,Padthaway,Reserve,88,46.0,South Australia,Stonehaven 1996 Reserve Shiraz (Padthaway),Shiraz,Stonehaven,1996
